route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
01,8402,1970646,Kipps Lane via Wellington & Dundas,,1,95510,68501,0,0
01,2,1925594,Kipps Lane via Wellington & Dundas,,1,93711,68498,0,0
01,2,1925592,Kipps Lane via Wellington & Dundas,,1,93713,68497,0,0
01,2,1925595,Kipps Lane via Wellington & Dundas,,1,93712,68498,0,0
01,8402,1970647,Kipps Lane via Wellington & Dundas,,1,95510,68497,0,0
01,2,1925597,Kipps Lane via Wellington & Dundas,,1,93711,68497,0,0
01,2,1925598,Pond Mills & Thompson Only,,1,93713,68499,0,0
02,2,1970847,Bonaventure via Dundas,,0,95523,68508,0,0
02,2,1970846,,,0,95526,68504,0,0
02,2,1970875,,,0,93756,68516,0,0
02,2,1970845,Bonaventure via Dundas,,0,95525,68515,0,0
02,2,1970848,,,0,95528,68516,0,0
02,2,1970806,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970826,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970807,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970827,Argyle Mall via Hale & Trafalgar,,0,95527,68513,0,0
02,2,1970808,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970828,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970809,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970829,Argyle Mall via Hale & Trafalgar,,0,95528,68513,0,0
02,2,1970810,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970830,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970811,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970831,Argyle Mall via Hale & Trafalgar,,0,95527,68513,0,0
02,2,1970812,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970832,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970813,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970857,Argyle Mall via Hale & Trafalgar,,0,95528,68513,0,0
02,2,1970814,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970833,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970815,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970834,Argyle Mall via Hale & Trafalgar,,0,95527,68513,0,0
02,2,1970816,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970835,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970817,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970836,Argyle Mall via Hale & Trafalgar,,0,95528,68513,0,0
02,2,1970818,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970837,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970819,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970838,Argyle Mall via Hale & Trafalgar,,0,95527,68513,0,0
02,2,1970820,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970839,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970821,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970840,Argyle Mall via Hale & Trafalgar,,0,95528,68513,0,0
02,2,1970822,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970841,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970823,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970843,Argyle Mall via Hale & Trafalgar,,0,95527,68513,0,0
02,2,1970824,Bonaventure via Dundas,,0,95524,68514,0,0
02,2,1970844,Argyle Mall via Hale & Trafalgar,,0,93756,68513,0,0
02,2,1970825,Bonaventure via Dundas,,0,95525,68514,0,0
02,2,1970849,Argyle Mall via Hale & Trafalgar,,0,95528,68513,0,0
02,2,1970852,Bonaventure via Dundas,,0,95522,68514,0,0
02,2,1970850,Argyle Mall via Hale & Trafalgar,,0,95526,68513,0,0
02,2,1970853,Bonaventure via Dundas,,0,95523,68514,0,0
02,2,1970876,Dundas & Highbury Only,,0,95527,68509,0,0
